Model,Architecture,Benchmark,Language,F1
Char-CNN,Deep Learning (1D-CNN),WiLI-2018,Eng-Latn,0.5866
Char-CNN,Deep Learning (1D-CNN),WiLI-2018,Tam-Taml,0.5992
Char-CNN,Deep Learning (1D-CNN),WiLI-2018,Hin-Deva,0.9333
Char-CNN,Deep Learning (1D-CNN),WiLI-2018,Ben-Beng,0.9424
Char-CNN,Deep Learning (1D-CNN),WiLI-2018,Ara-Arab,0.996
Char-CNN,Deep Learning (1D-CNN),WiLI-2018,Fre-Latn,0.8651
Char-CNN,Deep Learning (1D-CNN),WiLI-2018,Ger-Latn,0.8224
Char-CNN,Deep Learning (1D-CNN),CommonLID,Sinh-Sinh,0.9856
Char-CNN,Deep Learning (1D-CNN),CommonLID,Pali-Sinh,0.996
Char-CNN,Deep Learning (1D-CNN),CommonLID,San-Sinh,0.9918
Char-CNN,Deep Learning (1D-CNN),CommonLID,San-Deva,0.885
Char-CNN,Deep Learning (1D-CNN),CommonLID,Eng-Latn,0.7252
Char-CNN,Deep Learning (1D-CNN),CommonLID,Tam-Taml,0.0916
Char-CNN,Deep Learning (1D-CNN),CommonLID,Hin-Deva,0.918
Char-CNN,Deep Learning (1D-CNN),CommonLID,Ben-Beng,0.9868
Char-CNN,Deep Learning (1D-CNN),CommonLID,Ara-Arab,0.9902
Char-CNN,Deep Learning (1D-CNN),CommonLID,Fre-Latn,0.8256
Char-CNN,Deep Learning (1D-CNN),CommonLID,Ger-Latn,0.8414
Char-BiGRU,Deep Learning (BiGRU),FLORES+,Sinh-Sinh,0.9848
Char-BiGRU,Deep Learning (BiGRU),FLORES+,Pali-Sinh,0.9949
Char-BiGRU,Deep Learning (BiGRU),FLORES+,San-Sinh,0.9943
Char-BiGRU,Deep Learning (BiGRU),FLORES+,San-Deva,0.9831
Char-BiGRU,Deep Learning (BiGRU),FLORES+,Eng-Latn,0.7282
Char-BiGRU,Deep Learning (BiGRU),FLORES+,Tam-Taml,0.8371
Char-BiGRU,Deep Learning (BiGRU),FLORES+,Hin-Deva,0.9911
Char-BiGRU,Deep Learning (BiGRU),FLORES+,Ben-Beng,1.0
Char-BiGRU,Deep Learning (BiGRU),FLORES+,Ara-Arab,0.6662
Char-BiGRU,Deep Learning (BiGRU),FLORES+,Fre-Latn,0.9442
Char-BiGRU,Deep Learning (BiGRU),FLORES+,Ger-Latn,0.8983
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,Sinh-Sinh,0.9848
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,Pali-Sinh,0.9949
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,San-Sinh,0.994
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,San-Deva,0.9216
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,Eng-Latn,0.7128
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,Tam-Taml,0.668
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,Hin-Deva,0.904
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,Ben-Beng,0.9418
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,Ara-Arab,0.997
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,Fre-Latn,0.6658
Char-BiGRU,Deep Learning (BiGRU),WiLI-2018,Ger-Latn,0.8625
Char-BiGRU,Deep Learning (BiGRU),CommonLID,Sinh-Sinh,0.9833
Char-BiGRU,Deep Learning (BiGRU),CommonLID,Pali-Sinh,0.9939
Char-BiGRU,Deep Learning (BiGRU),CommonLID,San-Sinh,0.9943
Char-BiGRU,Deep Learning (BiGRU),CommonLID,San-Deva,0.8451
Char-BiGRU,Deep Learning (BiGRU),CommonLID,Eng-Latn,0.7002
Char-BiGRU,Deep Learning (BiGRU),CommonLID,Tam-Taml,0.0876
Char-BiGRU,Deep Learning (BiGRU),CommonLID,Hin-Deva,0.9042
Char-BiGRU,Deep Learning (BiGRU),CommonLID,Ben-Beng,0.9734
Char-BiGRU,Deep Learning (BiGRU),CommonLID,Ara-Arab,0.9879
Char-BiGRU,Deep Learning (BiGRU),CommonLID,Fre-Latn,0.6687
Char-BiGRU,Deep Learning (BiGRU),CommonLID,Ger-Latn,0.8439
